raw_comp_writers_text,CLEAN_TEXT
SHEHAB ELSAYED,SHEHAB ELSAYED
M.Ashraf & A.Hameed,M.Ashraf/A.Hameed
La Familia Valera Miranda,La Familia Valera Miranda
AR BROWNE JACKSON/AR LUNNY DONAL/AR SHANNON SHARON TERESA/CA TRAD/PA JACKSON BROWNE & SHARON SHANNON,BROWNE JACKSON/LUNNY DONAL/SHANNON SHARON TERESA/JACKSON BROWNE/SHARON SHANNON
"<Unknown>/Godbolt, Thomas",Godbolt/Thomas
Boosie Badazz,Boosie Badazz
Milton Turell,Milton Turell
Otávio A.,
Kash Bang/Bad Tree,Kash Bang/Bad Tree
Lullaby Music & kroh music,Lullaby Music/kroh music
김희진,
Fabio Clemente/Davide Petrella/Jacopo Lazzarini/Alessandro Merli/Emanuele Palumbo,Fabio Clemente/Davide Petrella/Jacopo Lazzarini/Alessandro Merli/Emanuele Palumbo
3g_kon/\n,3g_kon
Noriyasu Agematsu,Noriyasu Agematsu
Sahir Ludhianvi/Khayyam,Sahir Ludhianvi/Khayyam
Roy Engel/Nitzan Schachaf,Roy Engel/Nitzan Schachaf
Cherry Filter,Cherry Filter
Amit Trivedi/Amitabh Bhattacharya,Amit Trivedi/Amitabh Bhattacharya
"Danzo,Veigh",Danzo/Veigh
Jens Thele/Andy Bown/H. P. Baxxter/Rick Parfitt/Rick J. Jordan/Michael Simon,Jens Thele/Andy Bown/H. P. Baxxter/Rick Parfitt/Rick J. Jordan/Michael Simon
Jan Kazda/Christofer Johnsson/Thomas Karlsson/Therion,Jan Kazda/Christofer Johnsson/Thomas Karlsson/Therion
Almanac/Bad Neighborhood,Almanac/Bad Neighborhood
Austin Reynolds/Bryan Akers,Austin Reynolds/Bryan Akers
Ric Marlow/Bobby Scott,Ric Marlow/Bobby Scott
Tay Global/Arthur T. Kelley,
R. Weston,R. Weston
Mau Chih Fang,Mau Chih Fang
PJ Voorhees,PJ Voorhees
Circa 242/Mick Coogan/Scott Dittrich/Prescription Songs/Michael 'Omega' Fonseca,Mick Coogan/Scott Dittrich/Michael 'Omega' Fonseca
Franz Doelle/Fritz Rotter/Berndt Carlberg,Franz Doelle/Fritz Rotter/Berndt Carlberg
Rick Springfield,
Ruben Mendez Del Castillo,Ruben Mendez Del Castillo
Lisa Schonberg/Allan Wilson,Lisa Schonberg/Allan Wilson
Showmain/Hoop Records/Chiu Ying Hsun,Showmain/Hoop Records/Chiu Ying Hsun
Kris Barras,Kris Barras
Roger Gustave Samyn/Françoise Hardy,Roger Gustave Samyn/Françoise Hardy
Colonnello/Testa,Colonnello/Testa
Limit,Limit
Ravi Basrur/Shabbir Ahmed/Zee Music Company,Ravi Basrur/Shabbir Ahmed
Brian Lee White/Brian Trifon,Brian Lee White/Brian Trifon
Ben Raleigh/David Mook,Ben Raleigh/David Mook
Griffin Sherry/Maxwell Davis/Sean McCarthy,Griffin Sherry/Maxwell Davis/Sean McCarthy
Tom MacDonald,Tom MacDonald
Jimi Hendrix,Jimi Hendrix
Gioachino Rossini/Giovanni Federico Schmidt,Gioachino Rossini/Giovanni Federico Schmidt
Ingrid Michaelson,Ingrid Michaelson
Steven Jansen/Jack Gourlay/Joe Taylor/Lucas de Wert/Victor Leicher/Stephan Leicher,Steven Jansen/Jack Gourlay/Joe Taylor/Lucas de Wert/Victor Leicher/Stephan Leicher
Dane Anders Benson,Dane Anders Benson
Beas Flores & Castellanos Higareda,
Kenichi Maeyamada,Kenichi Maeyamada
AMP Chris,AMP Chris
MAKAVELIGODD,MAKAVELIGODD
Kunzevebe/Kartner/Ida From/Bent From,Kunzevebe/Kartner/Ida From/Bent From
Alejandro Maximiliano Espinoza,Alejandro Maximiliano Espinoza
Hiromu Akita,Hiromu Akita
Truva/Malte Kuhn/Benjamin Asare/Jens Schneider/Farsad Zoroofchi/Jules Kalmbacher,Truva/Malte Kuhn/Benjamin Asare/Jens Schneider/Farsad Zoroofchi/Jules Kalmbacher
A A REINI/C A REINI/PA ANTTI REINI & MAAPALLON MAITOLAITURIT,REINI/REINI/P/ANTTI REINI/MAAPALLON MAITOLAITURIT
Dorothy Heyward/George Gershwin/Ira Gershwin/DuBose Heyward,Dorothy Heyward/George Gershwin/Ira Gershwin/DuBose Heyward
Chris Cheney,
CA KOTTEN LEVI/CA LINNEY CAITLIN DONERLY/CA REGAN LEENA/CA RUTTE STIJN/PA AVAO & LINNEY,KOTTEN LEVI/LINNEY CAITLIN DONERLY/REGAN LEENA/RUTTE STIJN/AVAO/LINNEY
Bobby Plater/Edward Johnson/Buddy Feyne/Tiny Bradshaw,Bobby Plater/Edward Johnson/Buddy Feyne/Tiny Bradshaw
Serapio Ramirez,Serapio Ramirez
Anand Bakshi/Rahul Dev Burman,Anand Bakshi/Rahul Dev Burman
Amedeo Minghi/Franco Califano/Roberto Conrado/Edoardo Vianello,Amedeo Minghi/Franco Califano/Roberto Conrado/Edoardo Vianello
Victor Font,Victor Font
Shiro Sagisu,Shiro Sagisu
Map Style/Gift Colyer,
Nick Phoenix/Thomas Bergersen/Petr Pololáník,Nick Phoenix/Thomas Bergersen/Petr Pololáník
Alexandre Abescat/Tom Mokrane/Jeonghyeon Kim,Alexandre Abescat/Tom Mokrane/Jeonghyeon Kim
Sergio Mendoza/Sean Rogers/Quetzal Guerrero,Sergio Mendoza/Sean Rogers/Quetzal Guerrero
Olaf Dubber/Copyright Control/Alexander Grosskord,Olaf Dubber/Alexander Grosskord
Parrish Smith/Jimmy Urine/MC Lyte,
Hebert Vargas,Hebert Vargas
CA JONG DE OSCAR R/CA KNEPPERS MARKUS P MARK/CA OLAYIWOLA ALEXANDER/CA PLUG WIM/PA KRAAK & SMAAK,JONG DE OSCAR R/KNEPPERS MARKUS P MARK/OLAYIWOLA ALEXANDER/PLUG WIM/KRAAK/SMAAK
Paul Ablaze/Jonathan Lefrancois-Leduc,Paul Ablaze/Jonathan Lefrancois-Leduc
Anübix,Anübix
Gilberto Hernandez,
Kaabil,Kaabil
Juan Gaytán/Rafael Carrión,Juan Gaytán/Rafael Carrión
Amadeo Mariscal Lopez,Amadeo Mariscal Lopez
S.K. Hine/Michael Casey/Bill Somerville-Large,S.K. Hine/Michael Casey/Bill Somerville-Large
"<Unknown>/quiles, anthony",quiles/anthony
Jheynner/Amina Sahli/Morgan Avenue/Copyright Control/Cloud 9 Publishing/Matthijs de Ronden/Morien van der Tang/Jheynner Argote Frias/Maktub Music Publishing,Jheynner/Amina Sahli/Morgan Avenue/Matthijs de Ronden/Morien van der Tang/Jheynner Argote Frias
Sihle Nkosi,Sihle Nkosi
"Paulina Villarreal,Daniela Villarreal,Alejandra Villarreal",Paulina Villarreal/Daniela Villarreal/Alejandra Villarreal
"Chopsquad DJ,NLE Choppa,YNW BSlime",Chopsquad DJ/NLE Choppa/YNW BSlime
REEVES TINA/WHITE CHRIS (US 2 - CNTRY),
"<Unknown>/Davila, Joseph",Davila/Joseph
Yuno Miles,Yuno Miles
Ron Alan Steele  IPI #335529165 (ASCAP),Ron Alan Steele
Pappu Ravidas & Sikandar Kumar,Pappu Ravidas/Sikandar Kumar
Phạm Đình Chương,
Troy McDonald/Devon Charles Thagard,Troy McDonald/Devon Charles Thagard
Aman Tone,Aman Tone
MARTINEZ DANNY JR,MARTINEZ DANNY JR
Joggeswari & Suman,Joggeswari/Suman
Cs Hits/A Turma da Tibatinha,Cs Hits/A Turma da Tibatinha
Lynn Ahrens/Jay David Saks/Stephen Flaherty,Lynn Ahrens/Jay David Saks/Stephen Flaherty
James Newton Howard,James Newton Howard
Thrilla Montana/Curtis Carter,Thrilla Montana/Curtis Carter
Christopher Peyton/Benjamin Pedersen,Christopher Peyton/Benjamin Pedersen
พิชญ์สินี วีระสุทธิมาศ,
Garrison Keillor,Garrison Keillor
Raheem Bowes,Raheem Bowes
Lee Payne,
Alejandro Medina,Alejandro Medina
Clelia Raquel Dondoglio/Luigi Albertelli/Enrico Riccardi,Clelia Raquel Dondoglio/Luigi Albertelli/Enrico Riccardi
嘉垛/Copyright Control,
Michael Stipe/Mike Mills/Peter Buck,Michael Stipe/Mike Mills/Peter Buck
Rahul Dev Burman/Anand Bakshi,Rahul Dev Burman/Anand Bakshi
"James Towlson, Melina Katherine Bertsekas, Nyla Mosby & Adrian Acosta",James Towlson/Melina Katherine Bertsekas/Nyla Mosby/Adrian Acosta
Chris Webby,Chris Webby
Dmitry Lysenko,Dmitry Lysenko
Talia Billig/José James,Talia Billig/José James
Matti Vehmas,Matti Vehmas
Darrien Sao,Darrien Sao
Dinesh Silgava & Sita Mali,Dinesh Silgava/ Sita Mali
"Darontez Mayo,JAYSTONBEATS,Mike Mvjor,MVAbeats,Jaggerwerks,King Von,Lil Durk,Booka600",Darontez Mayo/JAYSTONBEATS/Mike Mvjor/MVAbeats/Jaggerwerks/King Von/Lil Durk/Booka600
Соловьев Вадим,
Jimmy Javier Castillo Urbina,Jimmy Javier Castillo Urbina
RON GOODWIN,RON GOODWIN
Cris Velasco/Òscar Senén,
Omo Frenchie,Omo Frenchie
Mearge Abate/Monkhouse/Ian Dixon/Peter Harper,
ME & MY TOOTHBRUSH,ME & MY TOOTHBRUSH
Giulio Caccini,Giulio Caccini
Ichiro Yamazaki,Ichiro Yamazaki
Witold Lutosławski,
Sdot Go,Sdot Go
Graham Butt/Allen Adams,Graham Butt/Allen Adams
Bart Peeters,Bart Peeters
Alain Souchon,Alain Souchon
"WILL BAKER,CHRISTOPHER S KELLY,PETE WOODRUFF",WILL BAKER/CHRISTOPHER S KELLY/PETE WOODRUFF
"Tory Grace Beridon, Natalia Taylar & Caleb Oczkowski",Tory Grace Beridon/Natalia Taylar /Caleb Oczkowski
Johann Strauss,Johann Strauss
Rockit Music,Rockit Music
勝又隆一,
Lil 30,Lil 30
Phạm Duy,
Joshua Saric,Joshua Saric
Niack,Niack
Wim Mertens,Wim Mertens
Andy Riley/Jason Cowley/Gavin Belton/Steve Walker/Laurence Ritchie,
Brenda McMorrow/B McMorrow,Brenda McMorrow/B McMorrow
Ernie Kovacs,Ernie Kovacs
Романов А.,
Enver Sadinlija/Zoran Starcevic,Enver Sadinlija/Zoran Starcevic
Dave Clark/Howard Lemon,Dave Clark/Howard Lemon
David Gordon/Steve Gordon,David Gordon/Steve Gordon
"<Unknown>/Pichasaca, Jose",Pichasaca/Jose
Anh Bằng,Anh Bằng
奥井雅美/Monta,Monta
Pavel Grecesqui,
Carl Fischer/Bill William Carey,Carl Fischer/Bill William Carey
黃偉文/周柏豪,
A BOERSTAD VIDAR/A RACS GUNTARS/C PAULS RAIMONDS/PA WALTERS & KAZHA,BOERSTAD VIDAR/RACS GUNTARS/PAULS RAIMONDS/P/WALTERS/ KAZHA
Chris Shern/Ryan Worthy/Jeff Goluszka/Ryan Caldwell/Justin Birchard,Chris Shern/Ryan Worthy/Jeff Goluszka/Ryan Caldwell/Justin Birchard
"Lucas Ing, Eliabe Quexin, Felipe Viana & Matheus di Padua",Lucas Ing/Eliabe Quexin/Felipe Viana/Matheus di Padua
GELES SUAREZ  OMAR ANTONIO,GELES SUAREZ  OMAR ANTONIO
Max Oude Weernink/Leo Roelandschap/Jim Taihuttu/Nils Rondhuis,Max Oude Weernink/Leo Roelandschap/Jim Taihuttu/Nils Rondhuis
Armando Madeira,Armando Madeira
"<Unknown>/Carpenter, Jonny",Carpenter/Jonny
Michele Lobaccaro/Nabil Salameh/Alessandro Pipino,Michele Lobaccaro/Nabil Salameh/Alessandro Pipino
Brandon Ellis,Brandon Ellis
Antelmo Chávez Valdovinos,
Disean Victor,Disean Victor
Alberto Escámez López,Alberto Escámez López
"<Unknown>/Pennance, Andy",Pennance/Andy
YPC Samad/Trapalot G5,YPC Samad/Trapalot G5
J3/ID Cleff/Joshua Roland,J3/ID Cleff/Joshua Roland
Anly Panouvong,Anly Panouvong
KING 3LDK,KING 3LDK
Yeldri Jimenez,Yeldri Jimenez
한경록,
Ira Gershwin/George Gershwin,Ira Gershwin/George Gershwin
Locho Crack,Locho Crack
Tim Janis,Tim Janis
نجيب حنكش,
Ronnie Urini/Erich Schindl/Gary Danner/Christian M. Mayer,
Jordyn Kane/Cameron Marygold/Brayden Deskins/Colton Fisher/Benjamin Roberts,
S. Bruner/D. Albarn/G. Kurstin,S. Bruner/D. Albarn/G. Kurstin
CA RICCI JASON/PA JASON RICCI & NEW BLOOD,RICCI JASON/ASON RICCI /NEW BLOOD
Jules De Martino/Katie White,Jules De Martino/Katie White
Bobby Sandimanie III,Bobby Sandimanie III
赵真,
Hanan Gorenshtin,Hanan Gorenshtin
Inaujee Ison & Justice Gray,Inaujee Ison/ Justice Gray
Mitchell Kinkade,Mitchell Kinkade
​hotaru,​hotaru
"Jake Shears,Michael Cheever,Boys Noize",Jake Shears/Michael Cheever/Boys Noize
Frank Loesser,Frank Loesser
Arturo Venegas Villa/Ricardo Gutierrez Alvarez/Victor Gabriel Rodarte Cordova,Arturo Venegas Villa/Ricardo Gutierrez Alvarez/Victor Gabriel Rodarte Cordova
TRUE JULIE,TRUE JULIE
Matthew Jackson,Matthew Jackson
Tom Brier,Tom Brier
Sterlin Talley,Sterlin Talley
José Luis Moctezuma,José Luis Moctezuma
A K M A/Copyright Control,A K M A
Sergej Vladimirovich Terent'ev,
Sean Price,Sean Price
Leroy Junior Russell & Leah Antoinette,Leroy Junior Russell /Leah Antoinette
YoungBoy Never Broke Again,YoungBoy Never Broke Again
Joshua Dixon,Joshua Dixon
Lê Minh Bằng,Lê Minh Bằng
Scorey,Scorey
Christian Lindberg,Christian Lindberg
José Luis Garibay,José Luis Garibay
Lil Agony & Braver Beats,Lil Agony & Braver Beats
A RASKE PENGE/CA ANDERSEN CHRISTIAN/PA KLUMBEN & RASKE PENGE,RASKE PENGE/C/ANDERSEN CHRISTIAN/P/KLUMBEN/RASKE PENGE
Aleksandr Shamaluev,Aleksandr Shamaluev
Rashe Houston,Rashe Houston
Karl Frierson/Pit Baumgartner,
Dahlback (Lunde & Lunde),Dahlback/Lunde/Lunde
Alexander Zurita Sahuanga,Alexander Zurita Sahuanga
twin janky 800,
Касаткин Ярослав Олегович,
Moises Santiago López,Moises Santiago López
Jorge Ibarra/Jenifer Ibarra,Jorge Ibarra/Jenifer Ibarra
Roberto Valentin,Roberto Valentin
Daoud/Rasool Diaz/Sool Got Hits/Cordae Dunston/Raphael Saadiq/Terrace Martin/Daoud Ayodele Miles Anthony,Daoud/Rasool Diaz/Sool Got Hits/Cordae Dunston/Raphael Saadiq/Terrace Martin/Daoud Ayodele Miles Anthony
2UGLi/The Premonist/UGLi Business/Jacy Chantiles,Jacy Chantiles
Brittney Mills & Vicki Vox,Brittney Mills/Vicki Vox
V. Cartier,V. Cartier
- -/שי בכר,
Big Sad 1900,Big Sad 1900
Atom Heart/Tetsu Inoue/Bill Laswell,Atom Heart/Tetsu Inoue/Bill Laswell
Patrik Jensen,Patrik Jensen
Herbainous Music (ASCAP),
Christian Blas Rios,Christian Blas Rios
Michael David Manring,Michael David Manring
"Chopsquad DJ,King Von",Chopsquad DJ/King Von
Shahin Music/Hadis Dehghan/Mostafa Momeni,Hadis Dehghan/Mostafa Momeni
Herby Fontal,Herby Fontal
Sebastien Tellier,Sebastien Tellier
"Slimeroni,A.R. The Mermaid",Slimeroni/A.R. The Mermaid
Hans-Joachim Hespos,Hans-Joachim Hespos
Ünsal Tüzün,Ünsal Tüzün
BAUSS CHRISTOPH/COLLAZO MARIO/LUVINER VINCENT,BAUSS CHRISTOPH/COLLAZO MARIO/LUVINER VINCENT
Matrioshka Brain/Aleph Oratorio/Cain Geist,Matrioshka Brain/Aleph Oratorio/Cain Geist
Willy William,Willy William
A. Ramlee/Ezra Kong,A. Ramlee/Ezra Kong
Funwi,Funwi
Antonio Vega,Antonio Vega
GlockBoy BoBo,GlockBoy BoBo
Les Hurdle/Madeline Bell/Kathleen Poppy/Themes International Music Ltd.,Les Hurdle/Madeline Bell/Kathleen Poppy
Johann Sebastian Bach,Johann Sebastian Bach
"Miky Mendozza, Bolela & Oscar Mont",Miky Mendozza/Bolela/Oscar Mont
Mambo/Hurriganes/Jim Kovalzskij,Mambo/Hurriganes/Jim Kovalzskij
Laurent Eyquem,Laurent Eyquem
[traditional]/John Rutter,John Rutter
"<Unknown>/Thomas, Christian Allen",Thomas/Christian Allen
Son Seong Rak,Son Seong Rak
chAN's/chAN’s/earattack/Don Baller/LEE DAE HWI/James ‘Boy Matthews’ Norton,chAN's/earattack/Don Baller/LEE DAE HWI/James ‘Boy Matthews’ Norton
Teej/Objectiv,
Magnus Langenohl/Philipp Monney,Magnus Langenohl/Philipp Monney
Dylan Chenfeld/Noah Chenfeld,Dylan Chenfeld/Noah Chenfeld
AR HAAVISTO JANNE PEKKA/AR LANKINEN MIKKO JUHANI/AR NYMAN TOM THEODOR/AR PITSINKI MATTI KAARLO/C LANKINEN MIKKO JUHANI/PA ROCK YHTYE LAIKA & THE COSMONA,HAAVISTO JANNE PEKKA/LANKINEN MIKKO JUHANI/NYMAN TOM THEODOR/PITSINKI MATTI KAARLO/LANKINEN MIKKO JUHANI/ROCK YHTYE LAIKA/THE COSMONA
مسلم الوائلي,
Jürgen Engler/Ralf Dörper/Lee Altus,Jürgen Engler/Ralf Dörper/Lee Altus
Artur Mena,Artur Mena
Oxius/Incurzion Audio,Oxius
"Kory Brown, Cory Polizzi & Nathaniel Welch",Kory Brown/Cory Polizzi /Nathaniel Welch
Bee Gees/Barry Gibb/Robin Gibb,Bee Gees/Barry Gibb/Robin Gibb
THAI KHANG,
GUNSHXT GUNSHXT,GUNSHXT
Amy Koïta,Amy Koïta
Roger Wanamo/Hiroki Kikuta/Nobuo Uematsu/Susanna Pölt/Yoko Shimomura/Yasunori Mitsuda,Hiroki Kikuta/Nobuo Uematsu/Susanna Pölt/Yoko Shimomura/Yasunori Mitsuda
mol$ mol$,mol$ mol$
Cochise,Cochise
Johnny Cash,Johnny Cash
Sammy Serious,Sammy Serious
Adel Osaki/Tibeau Denamur,Adel Osaki/Tibeau Denamur
Minit/AVOKID,Minit/AVOKID
Lil Nuu,Lil Nuu
Tego Calderón,Tego Calderón
Tony Hendrik/Bernd Meinunger/Andreas Martin Krause/Radio-Tele-Music GmbH/Coconut Music Limited & Co. KG,Tony Hendrik/Bernd Meinunger/Andreas Martin Krause
PHIL SEUNG BUL PAE,PHIL SEUNG BUL PAE
Anthony Tubbs,Anthony Tubbs
"Domo Genesis,Action Bronson,Earl Sweatshirt,SpaceGhostPurrp,The Alchemist",Domo Genesis/Action Bronson/Earl Sweatshirt/SpaceGhostPurrp/The Alchemist
Shi-/Angelo Taylor,Shi-/Angelo Taylor
"Joel Trujillo, Brandon Trejo & Anthony Valdez",Joel Trujillo/Brandon Trejo/Anthony Valdez
Samuel Santos,Samuel Santos
Bruce Bickerton,Bruce Bickerton
Manuel S. Acuna,Manuel S. Acuna
Charlie Puth/Jake Torrey/Jacob Kasher/Blake Slatkin,Charlie Puth/Jake Torrey/Jacob Kasher/Blake Slatkin
C. BERMAN/F. BERMAN/A. CREMERS/Whey Cooler/MICHEL CYWIE/Gema Obo Gema/DIDIER BARBELIVIEN/Music Sales Corporation Obo Premier Music/Warner-Tamerlane Pub Corp. Obo Edition Shark Media Songs,C. BERMAN/F. BERMAN/A. CREMERS/Whey Cooler/MICHEL CYWIE
Faheem Najm/J. Robinson/Dee Jay Dana/Thomas Tom Cat Bennett,Faheem Najm/J. Robinson/Dee Jay Dana/Thomas Tom Cat Bennett
"<Unknown>/Glueckauf, Aaron",Glueckauf/Aaron
Sun Drug,Sun Drug
Anh Quân,Anh Quân
David Machalicky/Tomáš Rothschedl/Damian Kucera/Jan Kucera,David Machalicky/Tomáš Rothschedl/Damian Kucera/Jan Kucera
Jason Fedze & Fedze,Jason Fedze
"Мамедов Бахтияр Гусейнулы, Сатыбалдиев Тамерлан & Алексеев Анатолий",
James Hamley/Hugh Lake/Brae Luafalealo,James Hamley/Hugh Lake/Brae Luafalealo
Ani DiFranco,Ani DiFranco
Sirpy,Sirpy
Shankar–Ehsaan–Loy/Javed Akhtar,Shankar/Ehsaan/Loy/Javed Akhtar
Brasse Brännström/Magnus Härenstam,Brasse Brännström/Magnus Härenstam
Locic & INgra,Locic/ INgra
Bruce Springsteen/Warren Zevon,Bruce Springsteen/Warren Zevon
David Line/Kevin Hendrick/Charles Macleod/Caroline Banks,David Line/Kevin Hendrick/Charles Macleod/Caroline Banks
Harmonize,Harmonize
Pfive México/Pfive Entertainmet,Pfive México/Pfive Entertainmet
Fernando Bejarano Pazos,Fernando Bejarano Pazos
Blxck/Marcos Aurelio Miranda Nogueira Neto,Marcos Aurelio Miranda Nogueira Neto
O. Farres,O. Farres
Eddie Hultqvist,Eddie Hultqvist
TwistyP,TwistyP
ALLEN REYNOLDS,ALLEN REYNOLDS
Gordon Mote,Gordon Mote
Georges Delerue,Georges Delerue
Sean Price,Sean Price
Jesse Keeler/Alex Puodziukas,Jesse Keeler/Alex Puodziukas
B. Mason/L. Reed,B. Mason/L. Reed
GARRY R REED,GARRY R REED
"Freddie Dredd,Haarper",Freddie Dredd/Haarper
Keith Kenniff/Hollie Kenniff,Keith Kenniff/Hollie Kenniff
Tim Wilke/The Cratez/David Kraft/Said Eroglu/Saven Musiq/Davut Althundal,Tim Wilke/David Kraft/Said Eroglu/Davut Althundal
J. Hershey/D. Swander,J. Hershey/D. Swander
BAZLI UNIC/COPYRIGHT CONTROL,
Brad Carroll/Peter Sham,Brad Carroll/Peter Sham
"Gunna,Florian “Flo” Ongonga,Angelo Ferraro",Gunna/Florian “Flo” Ongonga/Angelo Ferraro
Erin Hannah Fein/Brett Matthew Sanderson/Tristan Alexander Wraight,Erin Hannah Fein/Brett Matthew Sanderson/Tristan Alexander Wraight
"<Unknown>/Portis, Deundraeus",Portis/Deundraeus
Screamin’ Jay Hawkins,Screamin’ Jay Hawkins
John Barry/Anthony Newley/Leslie Bricusse,John Barry/Anthony Newley/Leslie Bricusse
CA SIMMONDS MAURICE NATHAN/CA SMITH LEON/CA TURNER BOBBY BERNARD JR/PA CAP 1 & VERSE SIMMONDS,
"<Unknown>/Hill, Brandon GM",Hill/Brandon GM
WEST GROUND/minatoku,WEST GROUND/minatoku
YOUMAN,YOUMAN
Francesco Romei,Francesco Romei
Tracy Lipp/Mr. Lordi,Tracy Lipp/Mr. Lordi
Mad Mix & JP,Mad Mix/JP
Eric Freeman & Chris Clark,
Tahir Tekin/KINGSMEN GROUP LLC,Tahir Tekin
Adriano Banchieri,Adriano Banchieri
Dream On Dreamer,Dream On Dreamer
Marco Carpentieri,Marco Carpentieri
Liam McCay,Liam McCay
Joe Leytrick & Mathew McGuire,Joe Leytrick/Mathew McGuire
Viju Shah/Sameer,Viju Shah/Sameer
Sylvain Tack/Paul Severs/Johan de Graeve,Sylvain Tack/Paul Severs/Johan de Graeve
Nox Beatz/Chris Webby/Jordan Devin/JP On Da Track/Brian Joseph Eisner/Jake Anthony Procanik/Dashorn Andrew Whitehead/Kyle Robert Crosby English,Nox Beatz/Chris Webby/Jordan Devin/JP On Da Track/Brian Joseph Eisner/Jake Anthony Procanik/Dashorn Andrew Whitehead/Kyle Robert Crosby English
Txus di Fellatio/Manuel Seoane,Txus di Fellatio/Manuel Seoane
Jose Luis Cruz Cruz,Jose Luis Cruz Cruz
Geoffrey Ellwood,Geoffrey Ellwood
Chester Bennington/Rob Bourdon/Brad Delson/Dave Farrell/Mike Shinoda,Chester Bennington/Rob Bourdon/Brad Delson/Dave Farrell/Mike Shinoda
David Travis Edwards/古川毅,David Travis Edwards
Kamar Forrest,Kamar Forrest
Mohamed El Kayaty - محمد القاياتي,Mohamed El Kayaty
Skull Diver & Thomas Gardell,Skull Diver /Thomas Gardell
コトリンゴ/あいはらひろゆき,
"Rhomar Jessy, Kyle Yumang, Aiden Torres & J.Raul Garcia",Rhomar Jessy/ Kyle Yumang/ Aiden Torres /J.Raul Garcia
Paul Gam/Ezequiel Espino,Paul Gam/Ezequiel Espino
Marcell Ulysse,Marcell Ulysse
Wanchaloem Suepain,Wanchaloem Suepain
Tom Cardy,Tom Cardy
Ness Beats,
beatsbyblg1/MoneyManLegit,beatsbyblg1/MoneyManLegit
"FN DaDealer,Lil ManMan,Slimelife Shawty",FN DaDealer/Lil ManMan/Slimelife Shawty
David Said,David Said
Майструк Максим,Майструк Максим
"<Unknown>/Jenkins, Kendall Damonta",Jenkins/Kendall Damonta
DJ Intan Novela/Copyright Control,
Skully Wit Da k & Pdg Jugg,Skully Wit Da k/Pdg Jugg
Michael Scholz & Detlef Wiedeke,Michael Scholz/Detlef Wiedeke
HOLLAND NICK,HOLLAND NICK
Sebastian Levermann & Niels Löffler,Sebastian Levermann/Niels Löffler
Son Jichang/Lee Taeseop/Kim Seongmyeon,Son Jichang/Lee Taeseop/Kim Seongmyeon
Matthías Jochumsson/Sveinbjörn Sveinbjörnsson,Matthías Jochumsson/Sveinbjörn Sveinbjörnsson
Daniel Gutierrez/Jacobo Vélez Mesa/Juan Carlos Arrechea,Daniel Gutierrez/Jacobo Vélez Mesa/Juan Carlos Arrechea
Gerry & Michael Thompson,Gerry/Michael Thompson
Christian Marsac/Addie Brik,Christian Marsac/Addie Brik
Morgan Heritage,Morgan Heritage
Nawaraj Lamsal/Surendra Man Singh,Nawaraj Lamsal/Surendra Man Singh
Bauhaus,Bauhaus
Irving Batalla Batalla,Irving Batalla Batalla
Surinder Sehaj/Dinesh Deepak,Surinder Sehaj/Dinesh Deepak
BART BUTLER/JON PARDI/LUKE LAIRD/RHETT AKINS,BART BUTLER/JON PARDI/LUKE LAIRD/RHETT AKINS
Georgiana Lobont,Georgiana Lobont
Martín Rodriguez,Martín Rodriguez
BEGGINS ALEXANDER JAMES/WILSON KELSEY ERIN,BEGGINS ALEXANDER JAMES/WILSON KELSEY ERIN
"Smatt Sertified, Aaron Melloul & Alexander Parsegov",Smatt Sertified/Aaron Melloul/Alexander Parsegov
Sébastien Gourseyrol,Sébastien Gourseyrol
Albert React,Albert React
Byron Stingily/Marshall Jefferson/Eric Welton,Byron Stingily/Marshall Jefferson/Eric Welton
Dominik Przybyłek,Dominik Przybyłek
leegof,leegof
Josh Homme,Josh Homme
前田克樹/藤林聖子,
"Sir Edward Elgar, Franz Joseph Haydn & DMK (DAE-MYUNG KANG)",Sir Edward Elgar/Franz Joseph Haydn/DMK (DAE-MYUNG KANG)
Nguyễn Duy An,
CA GRANBERG MARCUS VILHELM/CA NYBERG TOMAS/PA ARNE ALLIGATOR & DJUNGELTRUMMA,GRANBERG/MARCUS/VILHELM/NYBERG/TOMAS/PA/ARNE/ALLIGATOR/&/DJUNGELTRUMMA
"<Unknown>/Ault, Daniel",Ault/Daniel
Markus Mustonen/Joakim Berg/Sami Sirviö/Harri Mänty/Martin Sköld,Markus Mustonen/Joakim Berg/Sami Sirviö/Harri Mänty/Martin Sköld
Felipe Lima/Gustavo Carvalho/Caelu,Felipe Lima/Gustavo Carvalho/Caelu
"ScrumbleMan,BabyTron",ScrumbleMan/BabyTron
Connor Donovan/Vasant Sundaresan,Connor Donovan/Vasant Sundaresan
أحمد خضر/Copyright Control,
Jaleen Mathis,Jaleen Mathis
RdRay,
Charlie Starr,Charlie Starr
Pepe Castillo,Pepe Castillo
Hale Reeves,Hale Reeves
DIR EN GREY/京,DIR EN GREY
Ian Gillan/Ritchie Blackmore/Roger Glover,Ian Gillan/Ritchie Blackmore/Roger Glover
John Dirne/Gyo Kretz/Catalina Schweighauser/Tom Dekkers,John Dirne/Gyo Kretz/Catalina Schweighauser/Tom Dekkers
Simon Phoumsavan,
Ткач О./Taisia Povaliy/Будейчук В.П.,
John Farrar,John Farrar
Manuela Various/Thomas De Quincey,Manuela Various/Thomas De Quincey
